Date,Anomaly
185412,-0.08
185501,-0.07
185502,-0.07
185503,-0.06
185504,-0.06
185505,-0.06
185506,-0.06
185507,-0.06
185508,-0.06
185509,-0.06
185510,-0.05
185511,-0.05
185512,-0.05
185601,-0.05
185602,-0.04
185603,-0.04
185604,-0.04
185605,-0.04
185606,-0.04
185607,-0.04
185608,-0.05
185609,-0.05
185610,-0.06
185611,-0.06
185612,-0.06
185701,-0.07
185702,-0.07
185703,-0.06
185704,-0.06
185705,-0.07
185706,-0.07
185707,-0.08
185708,-0.08
185709,-0.08
185710,-0.09
185711,-0.09
185712,-0.09
185801,-0.09
185802,-0.09
185803,-0.09
185804,-0.09
185805,-0.09
185806,-0.1
185807,-0.1
185808,-0.1
185809,-0.11
185810,-0.11
185811,-0.11
185812,-0.11
185901,-0.11
185902,-0.1
185903,-0.1
185904,-0.1
185905,-0.1
185906,-0.1
185907,-0.1
185908,-0.1
185909,-0.1
185910,-0.11
185911,-0.11
185912,-0.11
186001,-0.11
186002,-0.11
186003,-0.11
186004,-0.11
186005,-0.12
186006,-0.12
186007,-0.12
186008,-0.12
186009,-0.12
186010,-0.13
186011,-0.13
186012,-0.14
186101,-0.15
186102,-0.16
186103,-0.16
186104,-0.16
186105,-0.17
186106,-0.17
186107,-0.17
186108,-0.17
186109,-0.17
186110,-0.17
186111,-0.16
186112,-0.17
186201,-0.17
186202,-0.17
186203,-0.18
186204,-0.18
186205,-0.18
186206,-0.18
186207,-0.18
186208,-0.19
186209,-0.19
186210,-0.19
186211,-0.19
186212,-0.2
186301,-0.2
186302,-0.2
186303,-0.2
186304,-0.2
186305,-0.2
186306,-0.2
186307,-0.2
186308,-0.2
186309,-0.2
186310,-0.21
186311,-0.21
186312,-0.21
186401,-0.21
186402,-0.22
186403,-0.22
186404,-0.22
186405,-0.22
186406,-0.22
186407,-0.22
186408,-0.23
186409,-0.23
186410,-0.23
186411,-0.23
186412,-0.24
186501,-0.24
186502,-0.24
186503,-0.24
186504,-0.24
186505,-0.24
186506,-0.24
186507,-0.23
186508,-0.23
186509,-0.23
186510,-0.22
186511,-0.22
186512,-0.21
186601,-0.2
186602,-0.2
186603,-0.19
186604,-0.19
186605,-0.19
186606,-0.19
186607,-0.18
186608,-0.18
186609,-0.18
186610,-0.18
186611,-0.18
186612,-0.18
186701,-0.18
186702,-0.17
186703,-0.17
186704,-0.17
186705,-0.17
186706,-0.17
186707,-0.17
186708,-0.17
186709,-0.16
186710,-0.16
186711,-0.15
186712,-0.15
186801,-0.16
186802,-0.16
186803,-0.15
186804,-0.16
186805,-0.15
186806,-0.15
186807,-0.15
186808,-0.15
186809,-0.14
186810,-0.14
186811,-0.14
186812,-0.14
186901,-0.13
186902,-0.13
186903,-0.12
186904,-0.12
186905,-0.12
186906,-0.12
186907,-0.12
186908,-0.12
186909,-0.12
186910,-0.12
186911,-0.12
186912,-0.11
187001,-0.12
187002,-0.12
187003,-0.12
187004,-0.12
187005,-0.11
187006,-0.12
187007,-0.12
187008,-0.12
187009,-0.12
187010,-0.12
187011,-0.12
187012,-0.13
187101,-0.14
187102,-0.14
187103,-0.14
187104,-0.14
187105,-0.14
